engine,case,version,value_bytes,pattern,mode,concurrency,operations,batches,ops_s,payload_mib_s,p50_ms,p95_ms,p99_ms,p999_ms,errors,hits,read_operations,hit_ratio,origin_requests,origin_bytes_avoided,nvm_hits_delta,cpu_us_per_op,server_cpu_cores,memory_after_mib,disk_read_mib,disk_write_mib,raw_path
memcached,hit_64k-0,1.6.45,65536,uniform,hit,1,2000,,11030.554846388057,689.4096778992536,0.0875205,0.10429405,0.12704407999999998,,0,2000,2000,1.0,0,131072000,0,49.288,0.5436739872687746,39.515625,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/memcached/hit_64k-0/result.json
memcached_extstore,hit_64k-0,1.6.45,65536,uniform,hit,1,2000,,11543.833838793873,721.4896149246171,0.08806249999999999,0.1153423,0.13693892,,0,2000,2000,1.0,0,131072000,0,128.278,1.4808199171728005,40.3984375,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-fixed-1.6/memcached_extstore/hit_64k-0/result.json
redis,hit_64k-0,8.2.10,65536,uniform,hit,1,2000,,10231.95849893179,639.4974061832369,0.0932705,0.12376874999999998,0.15160174999999998,,0,2000,2000,1.0,0,131072000,0,57.327,0.5865674848682627,45.78125,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/redis/hit_64k-0/result.json
valkey,hit_64k-0,8.1.10,65536,uniform,hit,1,2000,,10668.63919839768,666.789949899855,0.089333,0.1107521,0.15071467,,0,2000,2000,1.0,0,131072000,0,54.133,0.5775254457268616,43.5625,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/valkey/hit_64k-0/result.json
grpc,media_1m-0,1.6.0,1048576,uniform,hit,1,500,,976.9850803930966,976.9850803930966,1.0431249999999999,1.2769690499999997,1.4450429199999997,,0,500,500,1.0,0,524288000,0,1158.446,1.1317844584410612,212.921875,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-fixed-1.6/grpc/media_1m-0/result.json
memcached,media_1m-0,1.6.45,1048576,uniform,hit,1,500,,1976.918808625368,1976.918808625368,0.4849165,0.6339145999999998,0.71414024,,0,500,500,1.0,0,524288000,0,352.684,0.6972276331012293,46.15234375,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/memcached/media_1m-0/result.json
memcached_extstore,media_1m-0,1.6.45,1048576,uniform,hit,1,500,,1741.1286994487857,1741.1286994487857,0.567542,0.7514725999999999,0.8695319999999999,,0,500,500,1.0,0,524288000,0,522.742,0.9101610986072571,47.09765625,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-fixed-1.6/memcached_extstore/media_1m-0/result.json
redis,media_1m-0,8.2.10,1048576,uniform,hit,1,500,,1119.566743428687,1119.566743428687,0.8096460000000001,1.07090895,1.1780358399999997,,0,500,500,1.0,0,524288000,0,276.302,0.3093385303428331,54.3359375,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/redis/media_1m-0/result.json
valkey,media_1m-0,8.1.10,1048576,uniform,hit,1,500,,1202.700544771716,1202.700544771716,0.7602705000000001,1.00387885,1.0696258299999999,,0,500,500,1.0,0,524288000,0,255.0,0.3066886389167876,52.71875,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-1.6/valkey/media_1m-0/result.json
grpc,media_256k-0,1.6.0,262144,uniform,hit,1,1000,,2730.0179489642437,682.5044872410609,0.336896,0.47060864999999996,1.0476337499999997,,0,1000,1000,1.0,0,262144000,0,335.133,0.9149191052902339,198.328125,0.0,0.0,bench/investigation/runs/2026-09-23-matrix-fixed-1.6/grpc/media_256k-0/result.json
